                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2938,                 1.0731,                 1.0939,                0.59311,                 0.6711,                 0.6452,                0.35322,                 1.5571,                 1.2974,                 1.2067,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.2676,                 1.0656,                 1.0866,                0.57679,                0.66337,                0.64517,                0.34356,                 1.5706,                 1.3215,                 1.2407,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.3171,                 1.2338,                 1.0921,                0.69202,                0.58416,                0.65726,                0.34234,                 1.5473,                  1.397,                 1.2349,               0.000614,               0.000614,               0.000614
                     37,                 1.1503,                 1.0276,                 1.0614,                0.64373,                0.61881,                0.68169,                0.36514,                 1.5113,                 1.3292,                 1.2126,              0.0005744,              0.0005744,              0.0005744
                     38,                  1.275,                 1.1367,                 1.1248,                 0.6392,                0.63861,                0.69919,                0.39277,                 1.5025,                 1.2212,                 1.1997,              0.0005348,              0.0005348,              0.0005348
                     39,                  1.193,                 1.0135,                 1.0744,                0.63807,                0.65457,                0.69619,                 0.3909,                 1.5307,                 1.2276,                 1.2167,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.1713,                  1.131,                  1.034,                0.66478,                0.64851,                0.68619,                0.37814,                 1.5129,                 1.2878,                 1.2044,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.3224,                 1.2111,                 1.1021,                0.66228,                0.65046,                0.68709,                0.38181,                 1.5092,                 1.3019,                 1.1981,               0.000416,               0.000416,               0.000416
                     42,                 1.2307,                 1.0705,                 1.0549,                0.72784,                0.57921,                0.67411,                0.37532,                 1.5387,                 1.2877,                  1.207,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.2009,                 1.0293,                 1.0642,                 0.7154,                0.59731,                0.66244,                0.37476,                 1.5542,                 1.2944,                 1.2183,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.1458,                 1.0089,                  1.045,                0.68835,                0.59901,                 0.6692,                 0.3895,                 1.5463,                 1.2849,                  1.233,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.1984,                 1.0163,                 1.0505,                0.70307,                0.57921,                0.66872,                0.39349,                 1.5389,                 1.2621,                 1.2338,              0.0002576,              0.0002576,              0.0002576
                     46,                  1.287,                 1.2011,                 1.1608,                0.75488,                0.57933,                 0.6828,                0.39567,                 1.5468,                 1.2156,                 1.2332,               0.000218,               0.000218,               0.000218
                     47,                 1.2031,                0.99131,                 1.0884,                0.72178,                0.60891,                0.69309,                0.39034,                 1.5557,                  1.202,                 1.2366,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.1995,                0.98205,                 1.0646,                 0.6972,                0.62871,                0.69528,                0.39216,                 1.5383,                 1.2002,                 1.2257,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.2952,                 1.0572,                 1.0967,                0.69004,                0.63366,                0.69482,                0.39387,                 1.5337,                 1.1953,                 1.2233,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 1.0844,                0.98113,                 1.0384,                0.69723,                0.61562,                0.69372,                0.39815,                 1.5229,                 1.1852,                 1.2156,               5.96e-05,               5.96e-05,               5.96e-05
